run_accession	experiment_title	sample_accession	project_name	submission_accession	library_min_fragment_size	bam_md5	assembly_software	library_prep_longitude	library_selection	pcr_isolation_protocol	chip_protocol	sequencing_primer_provider	serotype	environment_feature	last_updated	submitted_galaxy	extraction_protocol	germline	secondary_project	culture_collection	submission_tool	sra_bytes	read_strand	rna_purity_280_ratio	hi_c_protocol	collected_by	submitted_ftp	restriction_enzyme_target_sequence	isolate	fastq_bytes	instrument_platform	variety	sequencing_date_format	temperature	sra_aspera	ecotype	submitted_aspera	sampling_campaign	bam_ftp	tissue_lib	environmental_sample	control_experiment	sex	submitted_md5	checklist	fastq_galaxy	library_gen_protocol	specimen_voucher	library_prep_latitude	submitted_bytes	taxonomic_identity_marker	run_date	country	ncbi_reporting_standard	sample_description	sra_galaxy	sample_prep_interval	fastq_md5	secondary_study_accession	experimental_protocol	read_count	study_title	bio_material	rna_prep_5_protocol	host_body_site	local_environmental_context	assembly_quality	collection_date_end	sample_capture_status	sample_title	host_genotype	host_phenotype	environmental_medium	cultivar	instrument_model	faang_library_selection	target_gene	bam_bytes	library_max_fragment_size	experiment_target	sequencing_date	description	nominal_sdev	chip_ab_provider	environment_material	host_tax_id	sample_material	sample_storage_processing	sra_md5	cell_type	fastq_ftp	disease	sample_prep_interval_units	broker_name	sub_strain	base_count	library_strategy	restriction_site	serovar	investigation_type	location	library_source	sra_ftp	age	library_layout	experimental_factor	sequencing_primer_catalog	environment_biome	rna_purity_230_ratio	dnase_protocol	dev_stage	library_prep_date_format	bam_aspera	binning_software	datahub	rna_integrity_num	library_prep_date	location_start	marine_region	aligned	file_location	sample_collection	chip_target	nominal_length	broad_scale_environmental_context	sequencing_location	status	completeness_score	lon	fastq_aspera	tax_lineage	host_sex	library_pcr_isolation_protocol	sample_alias	mating_type	collection_date_start	sub_species	contamination_score	run_alias	restriction_enzyme	depth	submitted_read_type	library_construction_protocol	host_growth_conditions	collection_date	experiment_alias	host_gravidity	center_name	identified_by	cell_line	sampling_site	host	library_name	tag	first_created	lat	strain	experiment_accession	scientific_name	host_status	tax_id	study_accession	submitted_format	submitted_host_sex	bisulfite_protocol	altitude	rt_prep_protocol	host_scientific_name	bam_galaxy	accession	secondary_sample_accession	sample_storage	cage_protocol	sampling_platform	taxonomic_classification	location_end	protocol_label	elevation	salinity	sequencing_method	sequencing_primer_lot	first_public	transposase_protocol	study_alias	library_prep_location	rna_prep_3_protocol	ph	sequencing_longitude	tissue_type	isolation_source
SRR31271307	Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot	SAMN44521277	Plasmodium	SRA2010156					PCR					Human blood	2024-11-09							42749742							15	17286538;19778287	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/srr/SRR312/007/SRR31271307/SRR31271307											ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/007/SRR31271307/SRR31271307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/007/SRR31271307/SRR31271307_2.fastq.gz							USA	MIGS/MIMS/MIMARKS.human-associated;MIGS.eu	Keywords: GSC:MIxS MIGS:6.0	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/007/SRR31271307/SRR31271307		6dd11b320865e470636651345a626cbb;5af8316ecc1bec0a70c13beb0ec280fa	SRP543826		349522	Plasmodium falciparum Raw sequence reads for controls and samples used to benchmark wetlab and bioinformatics methods				Human blood		2017-12-31		2 strain mixture control of V1S U659 : 5 95%			Dried blood on filter paper		Illumina MiSeq							Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot			Dried blood on filter paper	9606			8b16759f784780d18e305dcaa2b31e8e		ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/007/SRR31271307/SRR31271307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/007/SRR31271307/SRR31271307_2.fastq.gz					105555644	AMPLICON				37.8 N 122.4 W	GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/007/SRR31271307/SRR31271307		PAIRED			cultured habitat										37.8 N 122.4 W							cultured habitat		public		-122.4	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/007/SRR31271307/SRR31271307_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/007/SRR31271307/SRR31271307_2.fastq.gz	1;131567;2759;2698737;33630;5794;422676;5819;1639119;5820;418107;5833			DS2-DC3-10K_S49_L001		2017-01-01			DS2-DC3-10K_S49_L001_pairs_R1.fastq.gz						2017	IDRC16-7		SUB14852943				Homo sapiens	IDRC16-7	env_geo;env_geo:terrestrial;pathogen;pathogen:protozoan	2024-11-09	37.8	V1S U659 : 5 95%	SRX26650486	Plasmodium falciparum		5833	PRJNA1180199						Homo sapiens		SRR31271307	SRS23144366					37.8 N 122.4 W						2024-11-09		PRJNA1180199	NA	NA	NA	NA	NA	NA
SRR31271308	Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot	SAMN44521276	Plasmodium	SRA2010156					PCR					Human blood	2024-11-09							13390287							14	5278837;6144423	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/srr/SRR312/008/SRR31271308/SRR31271308											ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/008/SRR31271308/SRR31271308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/008/SRR31271308/SRR31271308_2.fastq.gz							USA	MIGS/MIMS/MIMARKS.human-associated;MIGS.eu	Keywords: GSC:MIxS MIGS:6.0	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/008/SRR31271308/SRR31271308		fedacad55e1b416b834825ac655fee2d;4dfd139b8f052cc2f44e7bb5e8429c8a	SRP543826		103874	Plasmodium falciparum Raw sequence reads for controls and samples used to benchmark wetlab and bioinformatics methods				Human blood		2017-12-31		2 strain mixture control of V1S U659 : 5 95%			Dried blood on filter paper		Illumina MiSeq							Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot			Dried blood on filter paper	9606			cfdf370735b4168a326dba7a9b33e798		ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/008/SRR31271308/SRR31271308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/008/SRR31271308/SRR31271308_2.fastq.gz					31369948	AMPLICON				37.8 N 122.4 W	GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/008/SRR31271308/SRR31271308		PAIRED			cultured habitat										37.8 N 122.4 W							cultured habitat		public		-122.4	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/008/SRR31271308/SRR31271308_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/008/SRR31271308/SRR31271308_2.fastq.gz	1;131567;2759;2698737;33630;5794;422676;5819;1639119;5820;418107;5833			DS2-DC3-100_S29_L001		2017-01-01			DS2-DC3-100_S29_L001_pairs_R1.fastq.gz						2017	IDRC16-6		SUB14852943				Homo sapiens	IDRC16-6	env_geo;env_geo:terrestrial;pathogen;pathogen:protozoan	2024-11-09	37.8	V1S U659 : 5 95%	SRX26650485	Plasmodium falciparum		5833	PRJNA1180199						Homo sapiens		SRR31271308	SRS23144364					37.8 N 122.4 W						2024-11-09		PRJNA1180199	NA	NA	NA	NA	NA	NA
SRR31271309	Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot	SAMN44521275	Plasmodium	SRA2010156					PCR					Human blood	2024-11-09							55621411							13	22325204;24813893	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/srr/SRR312/009/SRR31271309/SRR31271309											ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/009/SRR31271309/SRR31271309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/009/SRR31271309/SRR31271309_2.fastq.gz							USA	MIGS/MIMS/MIMARKS.human-associated;MIGS.eu	Keywords: GSC:MIxS MIGS:6.0	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/009/SRR31271309/SRR31271309		b98d8d4f82c06e5355a0dc59487899e9;0c63cc2030c129f0990cdd9eab45148a	SRP543826		450841	Plasmodium falciparum Raw sequence reads for controls and samples used to benchmark wetlab and bioinformatics methods				Human blood		2017-12-31		2 strain mixture control of V1S U659 : 2 98%			Dried blood on filter paper		Illumina MiSeq							Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot			Dried blood on filter paper	9606			b1aaf79eb3ac370014de570fee62da72		ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/009/SRR31271309/SRR31271309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/009/SRR31271309/SRR31271309_2.fastq.gz					136153982	AMPLICON				37.8 N 122.4 W	GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/009/SRR31271309/SRR31271309		PAIRED			cultured habitat										37.8 N 122.4 W							cultured habitat		public		-122.4	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/009/SRR31271309/SRR31271309_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/009/SRR31271309/SRR31271309_2.fastq.gz	1;131567;2759;2698737;33630;5794;422676;5819;1639119;5820;418107;5833			DS2-DC2-1k_S71_L001		2017-01-01			DS2-DC2-1k_S71_L001_pairs_R1.fastq.gz						2017	IDRC16-5		SUB14852943				Homo sapiens	IDRC16-5	env_geo;env_geo:terrestrial;pathogen;pathogen:protozoan	2024-11-09	37.8	V1S U659 : 2 98%	SRX26650484	Plasmodium falciparum		5833	PRJNA1180199						Homo sapiens		SRR31271309	SRS23144363					37.8 N 122.4 W						2024-11-09		PRJNA1180199	NA	NA	NA	NA	NA	NA
SRR31271310	Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot	SAMN44521274	Plasmodium	SRA2010156					PCR					Human blood	2024-11-09							29924657							12	12371430;13515200	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/srr/SRR312/010/SRR31271310/SRR31271310											ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/010/SRR31271310/SRR31271310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/010/SRR31271310/SRR31271310_2.fastq.gz							USA	MIGS/MIMS/MIMARKS.human-associated;MIGS.eu	Keywords: GSC:MIxS MIGS:6.0	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/010/SRR31271310/SRR31271310		f40ad275842b3ff0f272502a9b3fbc76;b59ed0c5c388208e7b9ea2d5051786ec	SRP543826		248436	Plasmodium falciparum Raw sequence reads for controls and samples used to benchmark wetlab and bioinformatics methods				Human blood		2017-12-31		2 strain mixture control of V1S U659 : 2 98%			Dried blood on filter paper		Illumina MiSeq							Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot			Dried blood on filter paper	9606			060b3e9164fd9a93526f0f224955caa4		ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/010/SRR31271310/SRR31271310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/010/SRR31271310/SRR31271310_2.fastq.gz					75027672	AMPLICON				37.8 N 122.4 W	GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/010/SRR31271310/SRR31271310		PAIRED			cultured habitat										37.8 N 122.4 W							cultured habitat		public		-122.4	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/010/SRR31271310/SRR31271310_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/010/SRR31271310/SRR31271310_2.fastq.gz	1;131567;2759;2698737;33630;5794;422676;5819;1639119;5820;418107;5833			DS2-DC2-10k_S38_L001		2017-01-01			DS2-DC2-10k_S38_L001_pairs_R1.fastq.gz						2017	IDRC16-4		SUB14852943				Homo sapiens	IDRC16-4	env_geo;env_geo:terrestrial;pathogen;pathogen:protozoan	2024-11-09	37.8	V1S U659 : 2 98%	SRX26650483	Plasmodium falciparum		5833	PRJNA1180199						Homo sapiens		SRR31271310	SRS23144362					37.8 N 122.4 W						2024-11-09		PRJNA1180199	NA	NA	NA	NA	NA	NA
SRR31271311	Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot	SAMN44521273	Plasmodium	SRA2010156					PCR					Human blood	2024-11-09							41971154							11	16655266;19472127	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/srr/SRR312/011/SRR31271311/SRR31271311											ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/011/SRR31271311/SRR31271311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/011/SRR31271311/SRR31271311_2.fastq.gz							USA	MIGS/MIMS/MIMARKS.human-associated;MIGS.eu	Keywords: GSC:MIxS MIGS:6.0	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/011/SRR31271311/SRR31271311		d329863ece746a3deace807b98a30f98;44c3dfec0e25b3ba40aac14e494eb9ed	SRP543826		331826	Plasmodium falciparum Raw sequence reads for controls and samples used to benchmark wetlab and bioinformatics methods				Human blood		2017-12-31		2 strain mixture control of V1S U659 : 1 99%			Dried blood on filter paper		Illumina MiSeq							Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot			Dried blood on filter paper	9606			f84bff79a6315e0fe4fc679cc1656bd7		ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/011/SRR31271311/SRR31271311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/011/SRR31271311/SRR31271311_2.fastq.gz					100211452	AMPLICON				37.8 N 122.4 W	GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/011/SRR31271311/SRR31271311		PAIRED			cultured habitat										37.8 N 122.4 W							cultured habitat		public		-122.4	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/011/SRR31271311/SRR31271311_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/011/SRR31271311/SRR31271311_2.fastq.gz	1;131567;2759;2698737;33630;5794;422676;5819;1639119;5820;418107;5833			DS2-DC1-1K_S15_L001		2017-01-01			DS2-DC1-1K_S15_L001_pairs_R1.fastq.gz						2017	IDRC16-3		SUB14852943				Homo sapiens	IDRC16-3	env_geo;env_geo:terrestrial;pathogen;pathogen:protozoan	2024-11-09	37.8	V1S U659 : 1 99%	SRX26650482	Plasmodium falciparum		5833	PRJNA1180199						Homo sapiens		SRR31271311	SRS23144360					37.8 N 122.4 W						2024-11-09		PRJNA1180199	NA	NA	NA	NA	NA	NA
SRR31271312	Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot	SAMN44521272	Plasmodium	SRA2010156					PCR					Human blood	2024-11-09							33073440							10	13557105;15495073	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/srr/SRR312/012/SRR31271312/SRR31271312											ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/012/SRR31271312/SRR31271312_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/012/SRR31271312/SRR31271312_2.fastq.gz							USA	MIGS/MIMS/MIMARKS.human-associated;MIGS.eu	Keywords: GSC:MIxS MIGS:6.0	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/012/SRR31271312/SRR31271312		b129e801eb2940c0d5cd34ab32985d04;1b70be03c5e27601c71eb0e6f59e8d82	SRP543826		273117	Plasmodium falciparum Raw sequence reads for controls and samples used to benchmark wetlab and bioinformatics methods				Human blood		2017-12-31		2 strain mixture control of V1S U659 : 1 99%			Dried blood on filter paper		Illumina MiSeq							Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot			Dried blood on filter paper	9606			9a1d3371909608a7e45e5890b4b5c439		ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/012/SRR31271312/SRR31271312_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/012/SRR31271312/SRR31271312_2.fastq.gz					82481334	AMPLICON				37.8 N 122.4 W	GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/012/SRR31271312/SRR31271312		PAIRED			cultured habitat										37.8 N 122.4 W							cultured habitat		public		-122.4	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/012/SRR31271312/SRR31271312_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/012/SRR31271312/SRR31271312_2.fastq.gz	1;131567;2759;2698737;33630;5794;422676;5819;1639119;5820;418107;5833			DS2-DC1-10k_S50_L001		2017-01-01			DS2-DC1-10k_S50_L001_pairs_R1.fastq.gz						2017	IDRC16-2		SUB14852943				Homo sapiens	IDRC16-2	env_geo;env_geo:terrestrial;pathogen;pathogen:protozoan	2024-11-09	37.8	V1S U659 : 1 99%	SRX26650481	Plasmodium falciparum		5833	PRJNA1180199						Homo sapiens		SRR31271312	SRS23144361					37.8 N 122.4 W						2024-11-09		PRJNA1180199	NA	NA	NA	NA	NA	NA
SRR31271313	Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot	SAMN44521271	Plasmodium	SRA2010156					PCR					Human blood	2024-11-09							7811463							9	3075397;3661243	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/srr/SRR312/013/SRR31271313/SRR31271313											ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/013/SRR31271313/SRR31271313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/013/SRR31271313/SRR31271313_2.fastq.gz							USA	MIGS/MIMS/MIMARKS.human-associated;MIGS.eu	Keywords: GSC:MIxS MIGS:6.0	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/013/SRR31271313/SRR31271313		6e0338750bae96663e98975ff3baabf9;3d39c46318033b172225d73272cf9966	SRP543826		59482	Plasmodium falciparum Raw sequence reads for controls and samples used to benchmark wetlab and bioinformatics methods				Human blood		2017-12-31		2 strain mixture control of V1S U659 : 1 99%			Dried blood on filter paper		Illumina MiSeq							Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot			Dried blood on filter paper	9606			beec82b6589eb54c9ce684ca5999e061		ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/013/SRR31271313/SRR31271313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/013/SRR31271313/SRR31271313_2.fastq.gz					17963564	AMPLICON				37.8 N 122.4 W	GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/013/SRR31271313/SRR31271313		PAIRED			cultured habitat										37.8 N 122.4 W							cultured habitat		public		-122.4	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/013/SRR31271313/SRR31271313_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/013/SRR31271313/SRR31271313_2.fastq.gz	1;131567;2759;2698737;33630;5794;422676;5819;1639119;5820;418107;5833			DS2-DC1-100_S47_L001		2017-01-01			DS2-DC1-100_S47_L001_pairs_R1.fastq.gz						2017	IDRC16-1		SUB14852943				Homo sapiens	IDRC16-1	env_geo;env_geo:terrestrial;pathogen;pathogen:protozoan	2024-11-09	37.8	V1S U659 : 1 99%	SRX26650480	Plasmodium falciparum		5833	PRJNA1180199						Homo sapiens		SRR31271313	SRS23144359					37.8 N 122.4 W						2024-11-09		PRJNA1180199	NA	NA	NA	NA	NA	NA
SRR31271314	NextSeq 2000 sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot	SAMN44521270	Plasmodium	SRA2010156					PCR					Human blood	2024-11-09							359307518							8	127782936;146215495	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/srr/SRR312/014/SRR31271314/SRR31271314											ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/014/SRR31271314/SRR31271314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/014/SRR31271314/SRR31271314_2.fastq.gz							USA	MIGS/MIMS/MIMARKS.human-associated;MIGS.eu	Keywords: GSC:MIxS MIGS:6.0	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/014/SRR31271314/SRR31271314		47f08d07b79609a4825c3ee9bc276d3d;534f35c029638c4bd2ada7c6270fdf99	SRP543826		4563644	Plasmodium falciparum Raw sequence reads for controls and samples used to benchmark wetlab and bioinformatics methods				Human blood		2017-12-31		2 strain mixture control of W2 D10 : 2 98%			Dried blood on filter paper		NextSeq 2000							NextSeq 2000 sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot			Dried blood on filter paper	9606			660080881d30239dc55aec0fe88ba88f		ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/014/SRR31271314/SRR31271314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/014/SRR31271314/SRR31271314_2.fastq.gz					1378220488	AMPLICON				37.8 N 122.4 W	GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/014/SRR31271314/SRR31271314		PAIRED			cultured habitat										37.8 N 122.4 W							cultured habitat		public		-122.4	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/014/SRR31271314/SRR31271314_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/014/SRR31271314/SRR31271314_2.fastq.gz	1;131567;2759;2698737;33630;5794;422676;5819;1639119;5820;418107;5833			072722_DS4-DC2-1K_AB2_S10		2017-01-01			072722_DS4-DC2-1K_AB2_S10_pairs_R1.fastq.gz						2017	Hazel7		SUB14852943				Homo sapiens	Hazel7	env_geo;env_geo:terrestrial;pathogen;pathogen:protozoan	2024-11-09	37.8	W2 D10 : 2 98%	SRX26650479	Plasmodium falciparum		5833	PRJNA1180199						Homo sapiens		SRR31271314	SRS23144358					37.8 N 122.4 W						2024-11-09		PRJNA1180199	NA	NA	NA	NA	NA	NA
SRR31271315	NextSeq 2000 sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot	SAMN44521269	Plasmodium	SRA2010156					PCR					Human blood	2024-11-09							529357598							7	191388617;215861962	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/srr/SRR312/015/SRR31271315/SRR31271315											ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/015/SRR31271315/SRR31271315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/015/SRR31271315/SRR31271315_2.fastq.gz							USA	MIGS/MIMS/MIMARKS.human-associated;MIGS.eu	Keywords: GSC:MIxS MIGS:6.0	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/015/SRR31271315/SRR31271315		4428f2f938f70a041e1581df6a1ca119;a6906687e8d68a2237f00ce645548e42	SRP543826		6931615	Plasmodium falciparum Raw sequence reads for controls and samples used to benchmark wetlab and bioinformatics methods				Human blood		2017-12-31		2 strain mixture control of W2 D10 : 2 98%			Dried blood on filter paper		NextSeq 2000							NextSeq 2000 sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot			Dried blood on filter paper	9606			e0fdc18b88b5c1d3755a549130318ec3		ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/015/SRR31271315/SRR31271315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/015/SRR31271315/SRR31271315_2.fastq.gz					2093347730	AMPLICON				37.8 N 122.4 W	GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/015/SRR31271315/SRR31271315		PAIRED			cultured habitat										37.8 N 122.4 W							cultured habitat		public		-122.4	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/015/SRR31271315/SRR31271315_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/015/SRR31271315/SRR31271315_2.fastq.gz	1;131567;2759;2698737;33630;5794;422676;5819;1639119;5820;418107;5833			072722_DS4-DC2-1K_A52_S22		2017-01-01			072722_DS4-DC2-1K_A52_S22_pairs_R1.fastq.gz						2017	Hazel6		SUB14852943				Homo sapiens	Hazel6	env_geo;env_geo:terrestrial;pathogen;pathogen:protozoan	2024-11-09	37.8	W2 D10 : 2 98%	SRX26650478	Plasmodium falciparum		5833	PRJNA1180199						Homo sapiens		SRR31271315	SRS23144357					37.8 N 122.4 W						2024-11-09		PRJNA1180199	NA	NA	NA	NA	NA	NA
SRR31271316	NextSeq 2000 sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot	SAMN44521268	Plasmodium	SRA2010156					PCR					Human blood	2024-11-09							22629405							6	8513243;9574077	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/srr/SRR312/016/SRR31271316/SRR31271316											ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/016/SRR31271316/SRR31271316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/016/SRR31271316/SRR31271316_2.fastq.gz							USA	MIGS/MIMS/MIMARKS.human-associated;MIGS.eu	Keywords: GSC:MIxS MIGS:6.0	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/016/SRR31271316/SRR31271316		a87e11b85a79be29a295abde20e27f29;eab5c8b7819287d6080831210c56a0ff	SRP543826		280164	Plasmodium falciparum Raw sequence reads for controls and samples used to benchmark wetlab and bioinformatics methods				Human blood		2017-12-31		2 strain mixture control of W2 D10 : 2 98%			Dried blood on filter paper		NextSeq 2000							NextSeq 2000 sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot			Dried blood on filter paper	9606			03fe4802f1a109017143085134e0a60d		ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/016/SRR31271316/SRR31271316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/016/SRR31271316/SRR31271316_2.fastq.gz					84609528	AMPLICON				37.8 N 122.4 W	GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/016/SRR31271316/SRR31271316		PAIRED			cultured habitat										37.8 N 122.4 W							cultured habitat		public		-122.4	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/016/SRR31271316/SRR31271316_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/016/SRR31271316/SRR31271316_2.fastq.gz	1;131567;2759;2698737;33630;5794;422676;5819;1639119;5820;418107;5833			072722_DS4-DC2-10_A52_S24		2017-01-01			072722_DS4-DC2-10_A52_S24_pairs_R1.fastq.gz						2017	Hazel5		SUB14852943				Homo sapiens	Hazel5	env_geo;env_geo:terrestrial;pathogen;pathogen:protozoan	2024-11-09	37.8	W2 D10 : 2 98%	SRX26650477	Plasmodium falciparum		5833	PRJNA1180199						Homo sapiens		SRR31271316	SRS23144356					37.8 N 122.4 W						2024-11-09		PRJNA1180199	NA	NA	NA	NA	NA	NA
