SampleID	SSPOOL	specimen_id	Pools
MADH100_ES355_8071121168_A52_S365	SSPOOL19	650004	A52
MADH100_ES418_8071120168_A52_S369	SSPOOL19	650005	A52
MADH052_ES433_8071097924_A52_S69	SSPOOL13	650007	A52
MADH052_ES041_8071088821_A52_S18	SSPOOL13	650008	A52
MADH084_ES041_8071088821_A52_S290	SSPOOL16	650008	A52
MADH051_ES439_8071097683_A52_S214	SSPOOL9	650010	A52
MADH052_ES348_8071120860_A52_S48	SSPOOL13	650026	A52
MADH084_ES348_8071120860_A52_S298	SSPOOL16	650026	A52
MADH100_ES133_8071121220_A52_S309	SSPOOL19	650029	A52
MADH039_ES059_8071088448_A52_S289	SSPOOL6	650034	A52
MADH100_ES330_8071121429_A52_S350	SSPOOL19	650041	A52
MADH039_ES330_8071121429_A52_S343	SSPOOL6	650041	A52
MADH052_ES326_8071121110_A52_S51	SSPOOL13	650050	A52
MADH029_ES085_8071087986_A52_S220_L001	SSPOOL4	650054	A52
MADH052_ES141_8071121003_A52_S28	SSPOOL13	650057	A52
MADH052_ES063_8071088698_A52_S26	SSPOOL13	650059	A52
MADH100_ES353_8071120844_A52_S363	SSPOOL19	650061	A52
MADH052_ES195_8071088165_A52_S43	SSPOOL13	650062	A52
MADH102_ES195_8071088165_A52_S157	SSPOOL20	650062	A52
MADH126_ES494_8071120912_A52_S239	SSPOOL27	650066	A52
MADH039_ES146_8071120884_A52_S350	SSPOOL6	650069	A52
MADH039_ES143_8071121123_A52_S362	SSPOOL6	650071	A52
MADH078_650078_8071094401_A52_S131	SSPOOL15	650078	A52
MADH078_650078_8071094055_A52_S178	SSPOOL15	650078	A52
MADH078_650082_8071094441_A52_S98	SSPOOL15	650082	A52
MADH102_650082_8071093759_A52_S132	SSPOOL20	650082	A52
MADH052_ES443_8071098174_A52_S71	SSPOOL13	650104	A52
MADH051_ES404_8071120316_A52_S259	SSPOOL9	650105	A52
MADH039_ES137_8071120930_A52_S291	SSPOOL6	650108	A52
MADH046_ES364_8071120539_A52_S226	SSPOOL8	650113	A52
MADH046_ES364_8071120539_A52_S130	SSPOOL8	650113	A52
MADH100_ES048_8071088108_A52_S299	SSPOOL19	650114	A52
MADH030_ES048_8071088108_A52_S288_L001	SSPOOL4	650114	A52
MADH030_ES048_8071088108_A52_S409	SSPOOL5	650114	A52
MADH100_ES253_8071088403_A52_S324	SSPOOL19	650116	A52
MADH046_ES253_8071088403_A52_S246	SSPOOL8	650116	A52
MADH046_ES253_8071088403_A52_S150	SSPOOL8	650116	A52
MADH100_ES189_8071121508_A52_S315	SSPOOL19	650121	A52
MADH039_ES189_8071121508_A52_S318	SSPOOL6	650121	A52
MADH100_ES320_8071121240_A52_S346	SSPOOL19	650124	A52
MADH039_ES119_8071121210_A52_S327	SSPOOL6	650128	A52
MADH046_ES368_8071119762_A52_S274	SSPOOL8	650132	A52
MADH046_ES368_8071119762_A52_S178	SSPOOL8	650132	A52
MADH100_ES344_8071121577_A52_S359	SSPOOL19	650134	A52
MADH039_ES351_8071120898_A52_S308	SSPOOL6	650135	A52
MADH100_ES126_8071121438_A52_S306	SSPOOL19	650138	A52
MADH039_ES126_8071121438_A52_S351	SSPOOL6	650138	A52
MADH030_ES054_8071088347_A52_S291_L001	SSPOOL4	650139	A52
MADH051_ES445_8071098110_A52_S262	SSPOOL9	650141	A52
MADH102_ES458_8071121633_A52_S161	SSPOOL20	650142	A52
MADH046_ES367_8071120211_A52_S166	SSPOOL8	650145	A52
MADH046_ES367_8071120211_A52_S262	SSPOOL8	650145	A52
MADH030_ES096_8071088662_A52_S310_L001	SSPOOL4	650146	A52
MADH051_ES398_8071120468_A52_S211	SSPOOL9	650149	A52
MADH046_ES375_8071120310_A52_S167	SSPOOL8	650151	A52
MADH046_ES375_8071120310_A52_S263	SSPOOL8	650151	A52
MADH030_ES064_8071088642_A52_S296_L001	SSPOOL4	650155	A52
MADH100_ES107_8071120803_A52_S304	SSPOOL19	650158	A52
MADH039_ES107_8071120803_A52_S363	SSPOOL6	650158	A52
MADH078_650181_8071093770_A52_S106	SSPOOL15	650181	A52
MADH078_650181_8071094018_A52_S153	SSPOOL15	650181	A52
MADH078_650184_8071094258_A52_S113	SSPOOL15	650184	A52
MADH078_650184_8071094121_A52_S158	SSPOOL15	650184	A52
MADH078_650195_8071093851_A52_S139	SSPOOL15	650195	A52
MADH078_650195_8071094417_A52_S186	SSPOOL15	650195	A52
MADH078_650196_8071094024_A52_S99	SSPOOL15	650196	A52
MADH078_650196_8071093839_A52_S146	SSPOOL15	650196	A52
MADH078_650199_8071094000_A52_S118	SSPOOL15	650199	A52
MADH078_650199_8071094189_A52_S164	SSPOOL15	650199	A52
MADH051_ES403_8071119785_A52_S247	SSPOOL9	650204	A52
MADH046_ES241_8071122095_A52_S180	SSPOOL8	650208	A52
MADH046_ES241_8071122095_A52_S276	SSPOOL8	650208	A52
MADH052_ES089_8071088593_A52_S19	SSPOOL13	650209	A52
MADH039_ES168_8071121186_A52_S375	SSPOOL6	650213	A52
MADH051_ES395_8071120688_A52_S270	SSPOOL9	650221	A52
MADH029_ES102_8071121348_A52_S228_L001	SSPOOL4	650222	A52
MADH030_ES105_8071120863_A52_S313_L001	SSPOOL4	650233	A52
MADH030_ES105_8071120863_A52_S412	SSPOOL5	650233	A52
MADH052_ES162_8071121318_A52_S33	SSPOOL13	650235	A52
MADH084_ES162_8071121318_A52_S294	SSPOOL16	650235	A52
MADH039_ES023_8071088113_A52_S325	SSPOOL6	650238	A52
MADH052_ES147_8071121655_A52_S27	SSPOOL13	650239	A52
MADH051_ES428_8071098397_A52_S225	SSPOOL9	650240	A52
MADH052_ES090_8071088066_A52_S20	SSPOOL13	650247	A52
MADH046_ES246_8071088150_A52_S257	SSPOOL8	650248	A52
MADH046_ES246_8071088150_A52_S161	SSPOOL8	650248	A52
MADH046_ES247_8071088423_A52_S138	SSPOOL8	650250	A52
MADH046_ES247_8071088423_A52_S234	SSPOOL8	650250	A52
